번호,요소,영역(대구분),공간 구성 요소,해결하려는 문제,효과(1-5),난이도(1-5),사분면,판단 근거
1,우수 관리 모니터링,수경시설 영역,연못·급배수설비,호우 시 저류·범람 감시가 없어 통제 시점을 모름,5,3,계획 확보 후,팀 주제인 물순환과 직결되나 계측 지점 선정과 전원 확보가 필요함
2,데이터 플랫폼 구축,공원 설계 방법,-,값이 흩어져 있어 운영 판단에 쓰이지 않음,5,4,계획 확보 후,수집·정제·저장·공개 주체를 정해야 유지됨(2주차 강의자료 54쪽)
3,차양 구조물(스마트 그늘막),조경 시설물 영역,휴게 시설물,폭염경보 시 그늘이 없어 이용이 중단됨,4,2,먼저 도입,기존 시설 철거 없이 설치 가능하고 기상 임계치와 연동하기 쉬움
4,투수성 포장,도로 및 광장 영역,보행 공간,포장면 강우가 그대로 유출됨,4,3,계획 확보 후,효과는 크지만 포장 재시공이 필요해 공사 단위가 커짐
5,보행자 자동 계수,도로 및 광장 영역,보행 공간,이용 인원 자료가 없어 개선 전후 비교가 불가능함,4,3.5,계획 확보 후,비영상(적외선·레이더) 방식 전제. 영상 기반은 개인정보 별도 검토 필요
6,토양 센서·관수 모니터링,녹지 영역,식재 기반(토양),관수량 판단 근거가 없음,3,2,여력 있을 때,설치가 단순하나 단독으로는 대상지 핵심 문제를 풀지 않음
7,스마트 조명,도로 및 광장 영역,보행 공간,야간 보행 안전과 에너지 낭비,3,2,여력 있을 때,기존 가로등 교체로 가능하며 전원이 이미 확보된 지점임
8,안내 표지 시설,조경 시설물 영역,옥외 시설물,폭염·호우 시 통제와 대체 공간 안내가 고정판에 머무름,3,1.5,여력 있을 때,기업 과업(한국종합기술)의 큐레이션 문제와 연결됨
9,음수대,조경 시설물 영역,휴게 시설물,폭염 시 급수 지점 부족,3,1,여력 있을 때,급수 설비가 있는 지점에서 가장 적은 비용으로 도입 가능
10,스마트 벤치,조경 시설물 영역,휴게 시설물,휴게·충전 편의,2,2,여력 있을 때,편의 향상에 그치고 침수·폭염 문제에는 직접 답하지 않음
11,스마트 주차장,조경 시설물 영역,편의 시설물,주차 탐색 시간,2,4,보류,대상지 문제와 거리가 있고 설비 규모가 큼
12,미디어 파사드,도로 및 광장 영역,광장,경관·홍보,1,4,보류,유지관리 비용이 크고 대상지의 결여 기능과 무관함

대상지,강남역 일대 (중심 37.4972N 127.0279E)
작성,물빛(박정인·신문주·이동규)
작성일·조회일,2026-09-20
출처,건축도시공간연구소(2019) 「지속가능한 스마트시티 구현을 위한 도시설계 전략 — 스마트공원 설계 가이드라인」의 4영역·30설계요소
출처,"UCLA Luskin Center for Innovation, SMART Parks 툴킷(형평적 접근·건강·안전·회복탄력성·물과 에너지 효율·운영유지)"
출처,스마트도시계획(캡스톤디자인) 2주차 강의자료 49~52쪽
점수 기준,"효과=대상지의 세 문제(호우 침수·여름 폭염·이용 정보 부재) 해결 기여 / 난이도=전원·통신 확보, 유지관리 주체, 개인정보 검토, 기존 시설 재시공 여부"
주의,1~5점은 팀이 합의한 정성 평가이며 측정값이 아님
